,Dst_Index_nT,Kp_10,ap_index_nT
2025-12-04 01:17:07.566492,0.0642182,-0.0054070354,-0.006193325
2025-12-04 02:17:07.566492,0.05756575,0.00010059774,0.00028976053
2025-12-04 03:17:07.566492,0.072101235,-0.007906824,-0.0101665035
2025-12-04 04:17:07.566492,0.08659446,0.011069559,0.0014434308
2025-12-04 05:17:07.566492,0.09700822,0.01164569,-0.003567554
2025-12-04 06:17:07.566492,0.09561244,0.0032092333,-0.0065089613
2025-12-04 07:17:07.566492,0.093493395,-0.0018897578,-0.013793588
2025-12-04 08:17:07.566492,0.09217849,-0.030947246,-0.028023653
2025-12-04 09:17:07.566492,0.07048572,-0.019271366,-0.020408027
2025-12-04 10:17:07.566492,0.09651187,-0.020937495,-0.017825
2025-12-04 11:17:07.566492,0.09079497,-0.013805293,-0.013861634
2025-12-04 12:17:07.566492,0.08733909,-0.020650081,-0.016997539
2025-12-04 13:17:07.566492,0.08894208,-0.019672439,-0.021647908
2025-12-04 14:17:07.566492,0.087386385,-0.01578468,-0.020992212
2025-12-04 15:17:07.566492,0.07108473,-0.012301393,-0.005515039
2025-12-04 16:17:07.566492,0.075486,-0.016264684,-0.005871944
2025-12-04 17:17:07.566492,0.08324554,-0.013517566,-0.0069238916
2025-12-04 18:17:07.566492,0.0690225,-0.02204702,-0.014931284
2025-12-04 19:17:07.566492,0.079472214,-0.024890877,-0.02986072
2025-12-04 20:17:07.566492,0.063805364,-0.0148290545,-0.016594626
2025-12-04 21:17:07.566492,0.05848486,-0.008477598,-0.012185104
2025-12-04 22:17:07.566492,0.05508864,-0.022209756,-0.01955735
2025-12-04 23:17:07.566492,0.06784316,-0.027476192,-0.025126807
2025-12-05 00:17:07.566492,0.07294221,-0.02415938,-0.020465277
2025-12-05 01:17:07.566492,0.07738277,-0.01487349,-0.01084467
2025-12-05 02:17:07.566492,0.08086061,-0.012685783,-0.020191267
2025-12-05 03:17:07.566492,0.07439444,-0.017753765,-0.013510637
2025-12-05 04:17:07.566492,0.05962021,-0.030899324,-0.02630487
2025-12-05 05:17:07.566492,0.051632203,-0.023549825,-0.0140293315
2025-12-05 06:17:07.566492,0.055725336,-0.025092281,-0.023786448
2025-12-05 07:17:07.566492,0.07066898,-0.014507517,-0.012967877
2025-12-05 08:17:07.566492,0.058513463,-0.014358915,-0.020438038
2025-12-05 09:17:07.566492,0.06980079,-0.011593156,-0.017795555
2025-12-05 10:17:07.566492,0.062499575,-0.008427903,-0.022291929
2025-12-05 11:17:07.566492,0.07245443,-0.009700201,-0.02793651
2025-12-05 12:17:07.566492,0.06437547,-0.012162901,-0.01666686
2025-12-05 13:17:07.566492,0.07184262,-0.026850432,-0.026576169
2025-12-05 14:17:07.566492,0.07135849,-0.027703226,-0.018428393
2025-12-05 15:17:07.566492,0.08613236,-0.026833251,-0.02884607
2025-12-05 16:17:07.566492,0.086041175,-0.03159783,-0.02143246
2025-12-05 17:17:07.566492,0.095421284,-0.039474666,-0.031966217
2025-12-05 18:17:07.566492,0.090679765,-0.048222207,-0.045829147
2025-12-05 19:17:07.566492,0.09553609,-0.04671801,-0.051428735
2025-12-05 20:17:07.566492,0.10103883,-0.028174624,-0.027753592
2025-12-05 21:17:07.566492,0.07924882,-0.02739188,-0.024983771
2025-12-05 22:17:07.566492,0.077083565,-0.027493432,-0.014802843
2025-12-05 23:17:07.566492,0.08029923,-0.03558246,-0.025818042
2025-12-06 00:17:07.566492,0.08232157,-0.028973736,-0.026252419
2025-12-06 01:17:07.566492,0.07396768,-0.05714895,-0.046074085
2025-12-06 02:17:07.566492,0.08892666,-0.05074589,-0.053577438
2025-12-06 03:17:07.566492,0.07993803,-0.051438317,-0.0420937
2025-12-06 04:17:07.566492,0.091747455,-0.05309257,-0.054377273
2025-12-06 05:17:07.566492,0.09991164,-0.042066865,-0.04345201
2025-12-06 06:17:07.566492,0.08639152,-0.04600057,-0.046941563
2025-12-06 07:17:07.566492,0.09189045,-0.047842734,-0.04201425
2025-12-06 08:17:07.566492,0.09616942,-0.03680096,-0.028238393
2025-12-06 09:17:07.566492,0.09088228,-0.026417248,-0.020547532
2025-12-06 10:17:07.566492,0.098940685,-0.027191803,-0.02907905
2025-12-06 11:17:07.566492,0.08612834,-0.033112653,-0.03325475
2025-12-06 12:17:07.566492,0.10470873,-0.03793454,-0.030790627
